RANK,SHIRTNUMBER,NAME,TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL_ATTEMPTS,AVERAGE PER SET
10,22,Maique Reis Nascimento,BRA,103,38,25,166,1.34
27,18,Ricardo Lucarelli Souza,BRA,73,30,39,142,0.95
33,8,Wallace De Souza,BRA,70,24,31,125,0.91
37,9,Yoandy Leal Hidalgo,BRA,65,12,23,100,0.84
40,4,Thales Hoss,BRA,61,18,30,109,0.79
57,6,Fernando Gil Kreling,BRA,49,24,40,113,0.64
72,1,Bruno Mossa Rezende,BRA,43,18,15,76,0.56
77,14,Douglas Correia De Souza,BRA,41,4,13,58,0.53
94,21,Alan Souza,BRA,35,12,13,60,0.45
142,19,Mauricio Borges Almeida Silva,BRA,22,1,8,31,0.29
169,16,Lucas Saatkamp,BRA,18,6,13,37,0.23
185,2,Isac Santos,BRA,15,7,6,28,0.19
197,13,Mauricio Luiz De Souza,BRA,13,9,13,35,0.17
207,23,Flavio Gualberto,BRA,11,7,7,25,0.14
249,20,Thiago Pontes Veloso,BRA,5,2,1,8,0.06
284,3,Eder Carbonera,BRA,0,0,1,1
285,5,Lucas Eduardo Loh,BRA,0,1,0,1